Atraid 0610007C21Rik
Tmem191c D16Bwg1494e
Cfap44 D16Ertd642e
Tango2 D16H22S680E
Jpt2 D17Ertd441e
Mydgf D17Wsu104e
Pum3 D19Bwg1357e
Fam204a D19Ertd737e
Ermp1 D19Wsu12e
Pgap1 D230012E17Rik
Spout1 D2Wsu81e
Plppr4 D3Bwg0562e
Serp1 D3Ucla1
Fam13a D430015B01Rik
Mavs D430028G21Rik
Zcchc7 D4Wsu132e
Rsrp1 D4Wsu53e
Fam3c D6Wsu176e
Prag1 D8Ertd82e
Tmem131l D930015E06Rik
Cd55b Daf2
Tkfc Dak
Ackr1 Darc
Brinp1 Dbc1
Dclk1 Dcamkl1
Dclk2 Dcamkl2
Abcc6 Dcc
Asap1 Ddef1
Eif4a3 Ddx48
Adat2 Deadc1
Ss18l2 Deb1
Defa29 Defcr-rs1
Deptor Depdc6
Gsdme Dfna5
Gsdme Dfna5h
Hsd17b11 Dhrs8
Diaph1 Diap1
Diaph2 Diap2
Diaph3 Diap3
Appl2 Dip3b
Dlgap5 Dlg7
Dlg1 Dlgh1
Dlg2 Dlgh2
Dlg4 Dlgh4
Dna2 Dna2l
Dnah11 Dnahc11
Dnah5 Dnahc5
Dnah8 Dnahc8
Dnah9 Dnahc9
Dnal4 Dnalc4
Trdmt1 Dnmt2
Cbarp Dos
Dppa5a Dppa5
Rcan2 Dscr1l1
Ripply3 Dscr6
Prl8a2 Dtprp
Dus2 Dus2l
Ppp1r27 Dysfip1
Cfap46 E030019B06Rik
Grin1os E130003G02Rik
Epop E130012A19Rik
Tet2 E130014J05Rik
Ccdc92b E130309D14Rik
Plppr1 E130309F12Rik
Ccdc180 E230008N13Rik
Pcnx2 E330039K12Rik
Washc5 E430025E21Rik
G3bp2 E430034L04Rik
Tymp Ecgf1
Cracr2b Efcab4a
Necab1 Efcbp1
Necab2 Efcbp2
Efl1 Eftud1
Ago1 Eif2c1
Ago2 Eif2c2
Ago3 Eif2c3
Ago4 Eif2c4
Eif3a Eif3s10
Eif3k Eif3s12
Eif3i Eif3s2
Eif3h Eif3s3
Eif3g Eif3s4
Eif3f Eif3s5
Eif3e Eif3s6
Eif3l Eif3s6ip
Eif3d Eif3s7
Eif3c Eif3s8
Eif3b Eif3s9
Smim6 Eln
Adgrl4 Eltd1
Pou6f1 Emb
Col26a1 Emid2
Adgre1 Emr1
Adgre4 Emr4
Epdr1 Epdr2
Selenoi Ept1
Erbin Erbb2ip
Olfr54 F3
Mfsd12 F630110N24Rik
Pcif1 F730014I05Rik
Rflnb Fam101b
Tcaf1 Fam115a
Tcaf2 Fam115c
C1qtnf12 Fam132a
Retreg2 Fam134a
Retreg1 Fam134b
Abraxas1 Fam175a
Slf2 Fam178a
Togaram1 Fam179b
Mindy4 Fam188b
Erich6 Fam194a
Mcrip1 Fam195b
Hgh1 Fam203a
Mindy1 Fam63a
Mindy2 Fam63b
Pimreg Fam64a
Ripor2 Fam65b
Miga1 Fam73a
Miga2 Fam73b
Eef2kmt Fam86
Farsb Farslb
Fat1 Fath
Fktn Fcmd
Myof Fer1l3
Vegfd Figf
Mtor Frap1
Ncs1 Freq
Mrm2 Ftsj2
Srsf10 Fusip1
Timm10b Fxc1
Nipsnap2 Gbas
Ccser2 Gcap14
Gcsam Gcet2
Kat2a Gcn5l2
Mogs Gcs1
Mstn Gdf8
Gmnn Gem
Ggt7 Ggtl3
Ggt5 Ggtla1
Ghrl Ghr
Colgalt1 Glt25d1
Bicra Gltscr1
Nop53 Gltscr2
Sbk3 Gm1078
Hectd4 Gm15800
Natd1 Gm16515
Map2k3os Gm16516
Ccdc189 Gm166
Armh1 Gm1661
Catip Gm216
Ankub1 Gm410
Cct8l1 Gm443
Garem2 Gm444
Vwde Gm467
Scml1 Gm47
Smim26 Gm561
Ccpg1os Gm5918
Usf3 Gm608
Colca2 Gm684
Srarp Gm694
Tmem267 Gm7120
Slc25a43 Gm8
Cfap54 Gm872
Gnl1 Gna-rs1
Rack1 Gnb2l1
Nt5dc3 Gnn
Golm1 Golph2
Golim4 Golph4
Gpatch1 Gpatc1
Gpatch2 Gpatc2
Gpatch4 Gpatc4
Gpatch8 Gpatc8
Adgrf2 Gpr111
Adgrf4 Gpr115
Adgrf5 Gpr116
Adgrd1 Gpr133
Adgrg1 Gpr56
Adgrv1 Gpr98
Grk4 Gprk2l
Grk5 Gprk5
Grk6 Gprk6
Tecr Gpsn2
Dpagt1 Gpt
Arhgap35 Grlf1
Ppp1r17 Gsbs
Gsdmd Gsdmdc1
Haspin Gsg2
Cfap20 Gtl3
Gucy1a1 Gucy1a3
Gucy1b1 Gucy1b3
Large2 Gyltl1b
Pfdn6 H2-Ke2
Ifi44l H28
Selenos H47
Hsd17b10 Hadh2
Hadh Hadhsc
Hao2 Hao3
Isca2 Hbld1
Isca1 Hbld2
Lamtor5 Hbxip
Pudp Hdhd1a
Dnaaf5 Heatr2
Helq Hel308
N6amt1 Hemk2
Gml2 Hemt1
Herc6 Herc5
Mfsd14a Hiat1
Mfsd14b Hiatl1
Ube2k Hip2
Nfu1 Hirip5
Zscan22 Hkr2
Zbtb48 Hkr3
Mnx1 Hlxb9
Arhgap45 Hmha1
Jpt1 Hn1
Jpt2 Hn1l
Hnrnpa1 Hnrpa1
Hnrnpa3 Hnrpa3
Hnrnpab Hnrpab
Hnrnpd Hnrpd
Hnrnpdl Hnrpdl
Hnrnpf Hnrpf
Hnrnph1 Hnrph1
Hnrnph2 Hnrph2
Hnrnph3 Hnrph3
Hnrnpk Hnrpk
Hnrnpl Hnrpl
Hnrnpll Hnrpll
Hnrnpm Hnrpm
Hnrnpr Hnrpr
Hnrnpu Hnrpu
Hnrnpul1 Hnrpul1
Hnrnpul2 Hnrpul2
Agfg1 Hrb
Agfg2 Hrbl
Nrg1 Hrg
Rida Hrsp12
Hsd17b6 Hsd17b9
Hspa4 Hsp110
Tmem208 Hspc171
Trmt2a Htf9c
Slc6a4 Htt
Rnf144b Ibrdc2
Rnf19b Ibrdc3
Mrpl58 Ict1
Olfr50 Id3
Tor1aip2 Ifrg15
Igkv19-93 Igk-V38
Cadm3 Igsf4b
Cadm4 Igsf4c
Ip6k1 Ihpk1
Irgm2 Iigp2
Cxcr2 Il8rb
Patj Inadl
Ido1 Indo
Ino80 Inoc1
Pdx1 Ipf1
Acod1 Irg1
Irgm1 Irgm
